date,ticker,side,price,shares,reason
2010-08-31,AMAR3.SA,BUY,90.48661041259766,552,REBAL_ADD
2010-08-31,AGRO3.SA,BUY,4.7022385597229,10633,REBAL_ADD
2010-08-31,SANB3.SA,BUY,5.699333190917969,8772,REBAL_ADD
2010-08-31,LPSB3.SA,BUY,12.535467147827148,3988,REBAL_ADD
2010-08-31,LOGN3.SA,BUY,37.58883666992188,1330,REBAL_ADD
2010-08-31,GUAR3.SA,BUY,7.164243698120117,6979,REBAL_ADD
2010-08-31,MSPA3.SA,BUY,34.00859451293945,1470,REBAL_ADD
2010-08-31,VIVT3.SA,BUY,6.267769813537598,7977,REBAL_ADD
2010-08-31,ALPA3.SA,BUY,4.674316883087158,10696,REBAL_ADD
2010-08-31,LREN3.SA,BUY,5.364493846893311,9320,REBAL_ADD
2010-08-31,MRVE3.SA,BUY,8.829461097717285,5662,REBAL_ADD
2010-08-31,RAPT3.SA,BUY,6.914525508880615,7231,REBAL_ADD
2010-08-31,HBOR3.SA,BUY,11.557674407958984,4326,REBAL_ADD
2010-08-31,BRKM3.SA,BUY,7.971519470214844,6272,REBAL_ADD
2010-08-31,POSI3.SA,BUY,11.861817359924316,4215,REBAL_ADD
2010-08-31,TGMA3.SA,BUY,9.801653861999512,5101,REBAL_ADD
2010-08-31,ROMI3.SA,BUY,4.036593437194824,12386,REBAL_ADD
2010-08-31,MYPK3.SA,BUY,11.980995178222656,4173,REBAL_ADD
2010-08-31,ABEV3.SA,BUY,3.7272350788116455,13414,REBAL_ADD
2010-08-31,EVEN3.SA,BUY,5.049190998077393,9902,REBAL_ADD
2010-09-01,SANB3.SA,SELL,5.22438907623291,8772,STOP_LOSS
2010-09-22,BRKM3.SA,SELL,7.312525272369385,6272,STOP_LOSS
2010-09-30,LPSB3.SA,SELL,13.162240982055664,3988,REBAL_DROP
2010-09-30,LOGN3.SA,SELL,39.63834381103516,1330,REBAL_DROP
2010-09-30,MSPA3.SA,SELL,34.00859451293945,1470,REBAL_DROP
2010-09-30,VIVT3.SA,SELL,6.431101322174072,7977,REBAL_DROP
2010-09-30,ALPA3.SA,SELL,4.936079025268555,10696,REBAL_DROP
2010-09-30,MRVE3.SA,SELL,9.679258346557615,5662,REBAL_DROP
2010-09-30,RAPT3.SA,SELL,7.267307758331299,7231,REBAL_DROP
2010-09-30,POSI3.SA,SELL,11.328702926635742,4215,REBAL_DROP
2010-09-30,ROMI3.SA,SELL,4.129763126373291,12386,REBAL_DROP
2010-09-30,ABEV3.SA,SELL,3.8958492279052734,13414,REBAL_DROP
2010-09-30,RENT3.SA,BUY,6.059095859527588,8384,REBAL_ADD
2010-09-30,TUPY3.SA,BUY,6.670305252075195,7616,REBAL_ADD
2010-09-30,PSSA3.SA,BUY,5.449238300323486,9322,REBAL_ADD
2010-09-30,HYPE3.SA,BUY,18.46628189086914,2751,REBAL_ADD
2010-09-30,BBAS3.SA,BUY,6.310579776763916,8050,REBAL_ADD
2010-09-30,SLCE3.SA,BUY,2.21108341217041,22976,REBAL_ADD
2010-09-30,RADL3.SA,BUY,2.3544723987579346,21576,REBAL_ADD
2010-09-30,ODPV3.SA,BUY,3.515745162963867,14449,REBAL_ADD
2010-09-30,BBDC3.SA,BUY,4.790394306182861,10604,REBAL_ADD
2010-09-30,TPIS3.SA,BUY,18.48852157592773,2747,REBAL_ADD
2010-09-30,SANB3.SA,BUY,5.729074954986572,8867,REBAL_ADD
2010-09-30,MULT3.SA,BUY,8.372361183166504,6067,REBAL_ADD
2010-10-26,RADL3.SA,SELL,2.327221632003784,21576,TRAIL_STOP
2010-11-10,RENT3.SA,SELL,5.784830093383789,8384,TRAIL_STOP
2010-11-11,TUPY3.SA,SELL,6.8012776374816895,7616,TRAIL_STOP
2010-11-16,HYPE3.SA,SELL,17.876258850097656,2751,TRAIL_STOP
2010-11-16,SLCE3.SA,SELL,2.3698649406433105,22976,TRAIL_STOP
2010-11-22,SANB3.SA,SELL,5.729074954986572,8867,TRAIL_STOP
2010-11-23,EVEN3.SA,SELL,5.239148616790772,9902,TRAIL_STOP
2010-11-30,AMAR3.SA,SELL,102.01609802246094,552,REBAL_DROP
2010-11-30,AGRO3.SA,SELL,5.158067226409912,10633,REBAL_DROP
2010-11-30,GUAR3.SA,SELL,7.725618362426758,6979,REBAL_DROP
2010-11-30,TGMA3.SA,SELL,13.762521743774414,5101,REBAL_DROP
2010-11-30,MYPK3.SA,SELL,15.385799407958984,4173,REBAL_DROP
2010-11-30,PSSA3.SA,SELL,6.478818416595459,9322,REBAL_DROP
2010-11-30,BBDC3.SA,SELL,4.711382865905762,10604,REBAL_DROP
2010-11-30,TPIS3.SA,SELL,24.043371200561523,2747,REBAL_DROP
2010-11-30,MULT3.SA,SELL,8.862110137939453,6067,REBAL_DROP
2010-11-30,LPSB3.SA,BUY,17.182233810424805,3224,REBAL_ADD
2010-11-30,MILS3.SA,BUY,20.30668067932129,2728,REBAL_ADD
2010-11-30,FLRY3.SA,BUY,6.053004264831543,9153,REBAL_ADD
2010-11-30,PATI3.SA,BUY,7.1446614265441895,7755,REBAL_ADD
2010-11-30,EGIE3.SA,BUY,9.557162284851074,5797,REBAL_ADD
2010-11-30,SMTO3.SA,BUY,5.341548919677734,10372,REBAL_ADD
2010-11-30,BRKM3.SA,BUY,9.017817497253418,6144,REBAL_ADD
2010-11-30,POMO3.SA,BUY,1.7205743789672852,32202,REBAL_ADD
2010-11-30,PLAS3.SA,BUY,178.22402954101562,310,REBAL_ADD
2010-11-30,TCSA3.SA,BUY,77.27061462402344,717,REBAL_ADD
2010-11-30,YDUQ3.SA,BUY,6.072936058044434,9123,REBAL_ADD
2010-11-30,ALPA3.SA,BUY,5.183079719543457,10689,REBAL_ADD
2010-11-30,ECOR3.SA,BUY,8.242681503295898,6721,REBAL_ADD
2010-11-30,ROMI3.SA,BUY,4.6455841064453125,11926,REBAL_ADD
2010-11-30,RDNI3.SA,BUY,12.423086166381836,4460,REBAL_ADD
2010-11-30,LOGN3.SA,BUY,43.17047500610352,1283,REBAL_ADD
2010-12-01,ODPV3.SA,SELL,4.255017280578613,14449,TRAIL_STOP
2010-12-06,MILS3.SA,SELL,18.54266929626465,2728,STOP_LOSS
2010-12-09,YDUQ3.SA,SELL,5.513733863830566,9123,STOP_LOSS
2010-12-13,ECOR3.SA,SELL,7.542339324951172,6721,STOP_LOSS
2010-12-14,ROMI3.SA,SELL,4.273548126220703,11926,STOP_LOSS
2010-12-17,BBAS3.SA,SELL,6.0374755859375,8050,TRAIL_STOP
2010-12-22,ALPA3.SA,SELL,4.737475872039795,10689,STOP_LOSS
2011-01-26,LREN3.SA,SELL,4.921772003173828,9320,STOP_LOSS
2011-01-27,PLAS3.SA,SELL,159.9065704345703,310,TRAIL_STOP
2011-01-28,LPSB3.SA,SELL,15.561270713806152,3224,TRAIL_STOP
2011-01-28,TCSA3.SA,SELL,71.85811614990234,717,TRAIL_STOP
