date,ticker,side,price,shares,reason
2010-05-31,GEPA3.SA,BUY,10.02971076965332,4985,REBAL_ADD
2010-05-31,CSNA3.SA,BUY,16.546981811523438,3021,REBAL_ADD
2010-05-31,AMAR3.SA,BUY,70.28882598876953,711,REBAL_ADD
2010-05-31,MULT3.SA,BUY,7.870952129364014,6352,REBAL_ADD
2010-05-31,POMO3.SA,BUY,1.029020071029663,48589,REBAL_ADD
2010-05-31,TOTS3.SA,BUY,6.686116218566895,7478,REBAL_ADD
2010-05-31,TUPY3.SA,BUY,4.319014072418213,11576,REBAL_ADD
2010-05-31,SBSP3.SA,BUY,7.722362518310547,6474,REBAL_ADD
2010-05-31,CGAS3.SA,BUY,8.10615348815918,6168,REBAL_ADD
2010-05-31,LREN3.SA,BUY,4.115617752075195,12148,REBAL_ADD
2010-05-31,CPFE3.SA,BUY,8.929064750671387,5599,REBAL_ADD
2010-05-31,BRFS3.SA,BUY,19.3186149597168,2588,REBAL_ADD
2010-05-31,MYPK3.SA,BUY,9.6520357131958,5180,REBAL_ADD
2010-05-31,RADL3.SA,BUY,1.6030104160308838,31191,REBAL_ADD
2010-05-31,PSSA3.SA,BUY,4.721000671386719,10590,REBAL_ADD
2010-05-31,POSI3.SA,BUY,12.594850540161133,3969,REBAL_ADD
2010-05-31,HYPE3.SA,BUY,17.279211044311523,2893,REBAL_ADD
2010-05-31,CEEB3.SA,BUY,12.316964149475098,4059,REBAL_ADD
2010-05-31,AGRO3.SA,BUY,4.313584804534912,11591,REBAL_ADD
2010-05-31,HBOR3.SA,BUY,8.310352325439453,6016,REBAL_ADD
2010-06-09,CSNA3.SA,SELL,11.878705024719238,3021,STOP_LOSS
2010-06-29,POSI3.SA,SELL,11.295384407043455,3969,STOP_LOSS
2010-06-30,MULT3.SA,SELL,7.6983747482299805,6352,REBAL_DROP
2010-06-30,POMO3.SA,SELL,1.012789249420166,48589,REBAL_DROP
2010-06-30,CGAS3.SA,SELL,7.990874767303467,6168,REBAL_DROP
2010-06-30,BRFS3.SA,SELL,19.68990898132324,2588,REBAL_DROP
2010-06-30,PSSA3.SA,SELL,4.683332443237305,10590,REBAL_DROP
2010-06-30,HYPE3.SA,SELL,16.281789779663086,2893,REBAL_DROP
2010-06-30,CEEB3.SA,SELL,12.244930267333984,4059,REBAL_DROP
2010-06-30,AGRO3.SA,SELL,4.145647048950195,11591,REBAL_DROP
2010-06-30,FLRY3.SA,BUY,5.290706157684326,8952,REBAL_ADD
2010-06-30,CGRA3.SA,BUY,6.188539028167725,7653,REBAL_ADD
2010-06-30,TGMA3.SA,BUY,8.204338073730469,5772,REBAL_ADD
2010-06-30,ALPA3.SA,BUY,3.6927099227905273,12826,REBAL_ADD
2010-06-30,GUAR3.SA,BUY,5.862382411956787,8079,REBAL_ADD
2010-06-30,EQTL3.SA,BUY,2.494684219360352,18985,REBAL_ADD
2010-06-30,EGIE3.SA,BUY,7.3489885330200195,6444,REBAL_ADD
2010-06-30,VIVT3.SA,BUY,5.577022552490234,8492,REBAL_ADD
2010-06-30,ODPV3.SA,BUY,2.7795419692993164,17040,REBAL_ADD
