date,ticker,side,price,shares,reason
2011-01-31,PATI3.SA,BUY,7.859125137329102,6362,REBAL_ADD
2011-01-31,TUPY3.SA,BUY,7.7929368019104,6416,REBAL_ADD
2011-01-31,POMO3.SA,BUY,1.7201675176620483,29066,REBAL_ADD
2011-01-31,ALPA3.SA,BUY,5.858522891998291,8534,REBAL_ADD
2011-01-31,TEND3.SA,BUY,4.511235237121582,11083,REBAL_ADD
2011-01-31,EZTC3.SA,BUY,5.4725494384765625,9136,REBAL_ADD
2011-01-31,SMTO3.SA,BUY,5.471132755279541,9138,REBAL_ADD
2011-01-31,CGAS3.SA,BUY,11.288808822631836,4429,REBAL_ADD
2011-01-31,PNVL3.SA,BUY,2.5012969970703125,19989,REBAL_ADD
2011-01-31,BRKM3.SA,BUY,9.94272232055664,5028,REBAL_ADD
2011-01-31,HBOR3.SA,BUY,13.617804527282717,3671,REBAL_ADD
2011-01-31,TPIS3.SA,BUY,25.5633544921875,1955,REBAL_ADD
2011-01-31,MOAR3.SA,BUY,34.226402282714844,1460,REBAL_ADD
2011-01-31,TGMA3.SA,BUY,11.776065826416016,4245,REBAL_ADD
2011-01-31,LPSB3.SA,BUY,15.604496002197266,3204,REBAL_ADD
2011-01-31,ODPV3.SA,BUY,4.009127616882324,12471,REBAL_ADD
2011-01-31,EMBR3.SA,BUY,12.368206024169922,4042,REBAL_ADD
2011-01-31,FLRY3.SA,BUY,6.678175926208496,7487,REBAL_ADD
2011-01-31,SBSP3.SA,BUY,9.426304817199709,5304,REBAL_ADD
2011-01-31,LIGT3.SA,BUY,18.41470718383789,2715,REBAL_ADD
2011-02-01,ALPA3.SA,SELL,5.262819290161133,8534,STOP_LOSS
2011-02-07,ODPV3.SA,SELL,3.606432676315308,12471,STOP_LOSS
2011-02-08,TGMA3.SA,SELL,10.541389465332031,4245,STOP_LOSS
2011-02-10,LPSB3.SA,SELL,13.96191692352295,3204,STOP_LOSS
2011-02-17,MOAR3.SA,SELL,28.52375030517578,1460,TRAIL_STOP
2011-02-25,POMO3.SA,SELL,1.596668720245361,29066,TRAIL_STOP
2011-02-28,FLRY3.SA,SELL,5.890151977539063,7487,STOP_LOSS
2011-02-28,BRKM3.SA,SELL,9.503392219543455,5028,REBAL_DROP
2011-02-28,SBSP3.SA,SELL,9.41937255859375,5304,REBAL_DROP
2011-02-28,LIGT3.SA,SELL,19.22453117370605,2715,REBAL_DROP
2011-02-28,ENEV3.SA,BUY,131.79843139648438,350,REBAL_ADD
2011-02-28,CPFE3.SA,BUY,10.912407875061035,4229,REBAL_ADD
2011-02-28,TGMA3.SA,BUY,12.890018463134766,3580,REBAL_ADD
2011-02-28,COCE3.SA,BUY,15.18366813659668,3039,REBAL_ADD
2011-02-28,POMO3.SA,BUY,1.596668720245361,28909,REBAL_ADD
2011-02-28,LPSB3.SA,BUY,16.252880096435547,2840,REBAL_ADD
2011-02-28,PSSA3.SA,BUY,6.700708866119385,6888,REBAL_ADD
2011-02-28,PEAB3.SA,BUY,9.65748119354248,4779,REBAL_ADD
2011-02-28,SLCE3.SA,BUY,2.5641939640045166,18001,REBAL_ADD
2011-02-28,ALPA3.SA,BUY,4.774999141693115,9666,REBAL_ADD
2011-03-10,TPIS3.SA,SELL,22.35757064819336,1955,TRAIL_STOP
2011-03-23,PATI3.SA,SELL,6.780933856964111,6362,TRAIL_STOP
2011-03-31,TEND3.SA,SELL,4.511235237121582,11083,REBAL_DROP
2011-03-31,EMBR3.SA,SELL,12.349909782409668,4042,REBAL_DROP
2011-03-31,LPSB3.SA,SELL,16.59868621826172,2840,REBAL_DROP
2011-03-31,SLCE3.SA,SELL,2.6755778789520264,18001,REBAL_DROP
2011-03-31,ALPA3.SA,SELL,5.190845489501953,9666,REBAL_DROP
2011-03-31,SBSP3.SA,BUY,10.523730278015137,4511,REBAL_ADD
2011-03-31,BRFS3.SA,BUY,25.804731369018555,1839,REBAL_ADD
2011-03-31,CEEB3.SA,BUY,14.565058708190918,3259,REBAL_ADD
2011-03-31,TPIS3.SA,BUY,24.848705291748047,1910,REBAL_ADD
2011-03-31,BEES3.SA,BUY,1.4144878387451172,33562,REBAL_ADD
2011-03-31,ELET3.SA,BUY,14.255953788757324,3330,REBAL_ADD
2011-03-31,ODPV3.SA,BUY,4.702260494232178,10096,REBAL_ADD
2011-05-04,SMTO3.SA,SELL,4.969613075256348,9138,TRAIL_STOP
2011-05-31,PSSA3.SA,SELL,6.253582954406738,6888,TRAIL_STOP
2011-05-31,CGAS3.SA,SELL,11.398221969604492,4429,REBAL_DROP
2011-05-31,PNVL3.SA,SELL,2.405345678329468,19989,REBAL_DROP
2011-05-31,CPFE3.SA,SELL,11.676356315612791,4229,REBAL_DROP
2011-05-31,COCE3.SA,SELL,17.307146072387695,3039,REBAL_DROP
2011-05-31,SBSP3.SA,SELL,11.156770706176758,4511,REBAL_DROP
2011-05-31,BRFS3.SA,SELL,24.50737953186035,1839,REBAL_DROP
2011-05-31,CEEB3.SA,SELL,15.795445442199709,3259,REBAL_DROP
2011-05-31,BEES3.SA,SELL,1.361656904220581,33562,REBAL_DROP
2011-05-31,ELET3.SA,SELL,12.944198608398438,3330,REBAL_DROP
2011-05-31,ODPV3.SA,SELL,5.094388961791992,10096,REBAL_DROP
2011-05-31,BGIP3.SA,BUY,11.49948501586914,4175,REBAL_ADD
2011-05-31,JHSF3.SA,BUY,2.9556288719177246,16245,REBAL_ADD
2011-05-31,BRKM3.SA,BUY,11.177608489990234,4295,REBAL_ADD
2011-05-31,TCSA3.SA,BUY,94.57483673095705,507,REBAL_ADD
2011-05-31,VIVT3.SA,BUY,8.471224784851074,5668,REBAL_ADD
2011-05-31,GEPA3.SA,BUY,10.3636474609375,4633,REBAL_ADD
2011-05-31,LREN3.SA,BUY,5.8778252601623535,8168,REBAL_ADD
2011-05-31,MYPK3.SA,BUY,14.637407302856444,3280,REBAL_ADD
2011-05-31,GUAR3.SA,BUY,8.023344993591309,5984,REBAL_ADD
2011-05-31,MSPA3.SA,BUY,28.189348220825195,1703,REBAL_ADD
2011-05-31,MDIA3.SA,BUY,11.224722862243652,4277,REBAL_ADD
2011-05-31,MILS3.SA,BUY,17.31450653076172,2773,REBAL_ADD
2011-06-30,TGMA3.SA,SELL,14.097393035888672,3580,REBAL_DROP
2011-06-30,TPIS3.SA,SELL,25.543575286865234,1910,REBAL_DROP
2011-06-30,LREN3.SA,SELL,5.858889579772949,8168,REBAL_DROP
2011-06-30,MYPK3.SA,SELL,13.438654899597168,3280,REBAL_DROP
2011-06-30,GUAR3.SA,SELL,7.851871490478516,5984,REBAL_DROP
2011-06-30,MDIA3.SA,SELL,10.833162307739258,4277,REBAL_DROP
2011-06-30,CEEB3.SA,BUY,17.010475158691406,2788,REBAL_ADD
2011-06-30,ALPA3.SA,BUY,5.926926612854004,8003,REBAL_ADD
2011-06-30,VLID3.SA,BUY,10.502184867858888,4516,REBAL_ADD
2011-06-30,CMIG3.SA,BUY,2.8479039669036865,16656,REBAL_ADD
2011-06-30,MOAR3.SA,BUY,34.48387908935547,1375,REBAL_ADD
2011-06-30,ODPV3.SA,BUY,4.647511959075928,10206,REBAL_ADD
2011-07-11,TCSA3.SA,SELL,83.00761413574219,507,TRAIL_STOP
2011-07-12,ENEV3.SA,SELL,133.34466552734375,350,TRAIL_STOP
2011-07-13,ALPA3.SA,SELL,5.310524940490723,8003,STOP_LOSS
2011-07-18,POMO3.SA,SELL,1.6297813653945925,28909,TRAIL_STOP
2011-07-19,EZTC3.SA,SELL,6.1420722007751465,9136,TRAIL_STOP
2011-07-27,VLID3.SA,SELL,9.367350578308104,4516,STOP_LOSS
2011-08-01,BRKM3.SA,SELL,9.94171142578125,4295,TRAIL_STOP
2011-08-02,JHSF3.SA,SELL,2.6726443767547607,16245,TRAIL_STOP
2011-08-04,HBOR3.SA,SELL,13.446725845336914,3671,TRAIL_STOP
2011-08-04,MILS3.SA,SELL,15.647117614746094,2773,TRAIL_STOP
2011-08-05,TUPY3.SA,SELL,8.076604843139648,6416,TRAIL_STOP
2011-08-08,VIVT3.SA,SELL,7.504507064819336,5668,STOP_LOSS
2011-08-08,CMIG3.SA,SELL,2.421276330947876,16656,TRAIL_STOP
2011-08-08,MOAR3.SA,SELL,28.495895385742188,1375,TRAIL_STOP
2011-08-09,BGIP3.SA,SELL,10.2385892868042,4175,STOP_LOSS
2011-08-31,VIVT3.SA,BUY,8.899765014648438,5036,REBAL_ADD
2011-08-31,PNVL3.SA,BUY,2.6255006790161133,17071,REBAL_ADD
2011-08-31,JHSF3.SA,BUY,2.8613014221191406,15664,REBAL_ADD
2011-08-31,BGIP3.SA,BUY,10.657886505126951,4205,REBAL_ADD
2011-08-31,TPIS3.SA,BUY,26.40522575378418,1697,REBAL_ADD
2011-08-31,TEND3.SA,BUY,4.511235237121582,9935,REBAL_ADD
2011-08-31,ABEV3.SA,BUY,5.259030342102051,8522,REBAL_ADD
2011-08-31,EZTC3.SA,BUY,6.683409214019775,6706,REBAL_ADD
2011-08-31,CSMG3.SA,BUY,4.911481857299805,9125,REBAL_ADD
2011-08-31,BRFS3.SA,BUY,26.39692687988281,1697,REBAL_ADD
2011-08-31,CMIG3.SA,BUY,2.698250293731689,16611,REBAL_ADD
2011-08-31,HBOR3.SA,BUY,15.248339653015137,2939,REBAL_ADD
2011-08-31,SBSP3.SA,BUY,10.627696990966797,4217,REBAL_ADD
2011-08-31,LIGT3.SA,BUY,20.202547073364254,2218,REBAL_ADD
2011-08-31,ENGI3.SA,BUY,1.2513731718063354,35817,REBAL_ADD
2011-09-19,EZTC3.SA,SELL,5.933866024017334,6706,STOP_LOSS
2011-09-22,HBOR3.SA,SELL,13.54842758178711,2939,TRAIL_STOP
2011-09-30,JHSF3.SA,SELL,2.546872615814209,15664,STOP_LOSS
2011-09-30,PEAB3.SA,SELL,9.491833686828612,4779,REBAL_DROP
2011-09-30,MSPA3.SA,SELL,25.69538307189941,1703,REBAL_DROP
2011-09-30,CMIG3.SA,SELL,2.490520715713501,16611,REBAL_DROP
2011-09-30,LIGT3.SA,SELL,18.24127769470215,2218,REBAL_DROP
2011-09-30,ENGI3.SA,SELL,1.2790579795837402,35817,REBAL_DROP
2011-09-30,TOTS3.SA,BUY,8.373174667358398,5021,REBAL_ADD
